book_id,book_name,author,publisher,release_dt,book_price,division,book_img
107,인간 실격,"다자이 오사무 지음, 김춘미 옮김",민음사,2004-05-15,9000,B001,https://image.aladin.co.kr/product/49/16/cover200/893746103x_3.jpg
108,박태웅의 AI 강의 2025,박태웅 지음,한빛비즈,2024-09-30,18800,B004,https://image.aladin.co.kr/product/34689/12/cover200/k522933817_1.jpg
109,내 여자의 열매,한강 지음,문학과지성사,2018-11-09,14000,B001,https://image.aladin.co.kr/product/17393/7/cover200/s932034826_1.jpg
110,내면소통,김주환 지음,인플루엔셜(주),2023-02-27,33000,B010,https://image.aladin.co.kr/product/31189/93/cover200/s512831358_3.jpg
111,원씽 The One Thing (60만 부 기념 스페셜 에디션),"게리 켈러 & 제이 파파산 지음, 구세희 옮김",비즈니스북스,2013-08-30,16800,B005,https://image.aladin.co.kr/product/33147/58/cover200/k812937035_1.jpg
112,나는 다정한 관찰자가 되기로 했다,이은경 지음,서교책방,2024-05-30,17800,B008,https://image.aladin.co.kr/product/33949/55/cover200/k702930338_1.jpg
113,사라진 것들,"앤드루 포터 지음, 민은영 옮김",문학동네,2024-01-15,18000,B001,https://image.aladin.co.kr/product/33203/41/cover200/8954697356_2.jpg
114,싯다르타,"헤르만 헤세 지음, 박병덕 옮김",민음사,2002-01-20,8000,B001,https://image.aladin.co.kr/product/32/95/cover200/s062934786_1.jpg
115,급류,정대건 지음,민음사,2022-12-22,14000,B001,https://image.aladin.co.kr/product/30769/24/cover200/8937473402_1.jpg
116,누군가를 이토록 사랑한 적,이병률 지음,문학과지성사,2024-04-24,12000,B001,https://image.aladin.co.kr/product/33824/43/cover200/8932042721_1.jpg
117,무례한 친구가 생겼어요,"크리스티나 퍼니발 지음, 케이티 드와이어 그림, 이은경 옮김",리틀포레스트,2024-02-21,16700,B012,https://image.aladin.co.kr/product/33397/42/cover200/k292938510_1.jpg
118,푸른 들판을 걷다,"클레어 키건 지음, 허진 옮김",다산책방,2024-08-21,16800,B001,https://image.aladin.co.kr/product/34499/68/cover200/k502932751_1.jpg
119,내 언어의 한계는 내 세계의 한계이다,김종원 지음,마인드셋,2024-05-29,18800,B010,https://image.aladin.co.kr/product/33996/43/cover200/k412930758_2.jpg
120,죽이고 싶은 아이,이꽃님 지음,우리학교,2021-06-07,12500,B006,https://image.aladin.co.kr/product/27211/83/cover200/k422732197_2.jpg
121,음악소설집 音樂小說集,김애란 외 지음,프란츠,2024-06-13,18000,B001,https://image.aladin.co.kr/product/34130/64/cover200/k222931917_2.jpg
122,데미안,"헤르만 헤세 지음, 전영애 옮김",민음사,2000-12-20,8000,B001,https://image.aladin.co.kr/product/26/0/cover200/s742633278_2.jpg
